0,76.2,1.8,68.8,8.2,0.2,155.2
1,96,1,54.6,5,0.6,157.2
2,58.2,1.6,29.4,3.4,0,92.6
3,49,1.6,15.6,3.4,0.2,69.8
4,50.6,1.8,16.6,2.8,2.8,74.6
5,71.8,3.2,17.4,2.4,0.6,95.4
6,109.2,4,31.2,4,0.2,148.6
7,122.8,10.8,38,5.4,2,179
8,199.4,8.4,56.4,9.8,1.2,275.2
9,255.8,12.8,115.4,12.4,0.6,397
10,329.8,10.2,176.4,12,1.4,529.8
11,395.8,26.2,310.4,14.8,1.6,748.8
12,454.2,26.8,493.4,12.8,0.2,987.4
13,454.6,27.8,447,14.8,1,945.2
14,423.4,24.2,434,12.4,1.2,895.2
15,469.8,23,488,14.4,1.4,996.6
16,384.8,30.6,425.8,8.8,2.6,852.6
17,317.2,29.6,410.6,11.6,3.4,772.4
18,284.6,26.6,399.8,10,3.2,724.2
19,145.8,24.2,291.6,10.2,3,474.8
20,113.6,20.8,246.4,10,2.6,393.4
21,154.6,17.8,217,9.6,1.8,400.8
22,73.8,13.6,329.6,7.6,3.6,428.2
23,100.8,7.2,176.6,6.2,3.2,294
0,75.8,8.4,98,6.4,0.4,189
1,22.2,6.6,38,5.6,0,72.4
2,22,6.6,23.4,5.2,0.4,57.6
3,39.2,8.8,19.2,4,1.2,72.4
4,59.6,12.6,21.8,7.8,2.8,104.6
5,81.6,20.4,34.6,7.8,2.2,146.6
6,145.6,25.4,41.4,9.8,2.4,224.6
7,221.8,35.8,68.2,10.4,3.2,339.4
8,364,38.6,99.2,18.6,1.4,521.8
9,434.6,42.6,191.6,25.6,1,695.4
10,529,51.4,240.6,22.6,1.4,845
11,601.2,56,345,31.2,2.6,1036
12,627.2,55,474.8,31,0.4,1188.4
13,670.6,58,474.4,26.8,0.2,1230
14,590.2,80.2,521,27.2,0.6,1219.2
15,527.2,88.4,610,33.4,1.8,1260.8
16,358.2,72.6,613.4,33.4,2.6,1080.2
17,308.8,68.4,666.4,33,2.4,1079
18,257.6,54.2,716,31.8,3,1062.6
19,165.6,56.2,601,40,2.6,865.4
20,115.6,44.2,426.6,26.6,3,616
21,154.2,34.2,380.8,30.2,2.4,601.8
22,83.4,28.4,398,31.4,2.6,543.8
23,90.8,19.2,218.8,22,3,353.8
0,77,15.8,140.4,16,2.2,251.4
1,26.6,10.2,69,12.4,0.2,118.4
2,31.2,12,37.6,10.6,0.2,91.6
3,37.4,14.8,27.4,12.6,0.4,92.6
4,54.2,19.4,27.6,16.8,3.2,121.2
5,86.4,29.4,32,21.6,3.8,173.2
6,147.4,41,54,20.4,1.6,264.4
7,255.4,54,101.6,26.4,3.6,441
8,358.8,62,181.4,43,3.6,648.8
9,455.8,58.2,273.8,47.4,2.6,837.8
10,485.2,65.8,224,51,1.6,827.6
11,533.2,67.4,309.2,54.8,3,967.6
12,527.6,85,376.4,52,1,1042
13,520.6,78,368,54,1,1021.6
14,510,98.6,412.8,57.6,1.4,1080.4
15,452.2,93.4,589.8,55,0.8,1191.2
16,413.2,69.4,604.2,56.6,1.6,1145
17,419,84.2,603,62.4,6,1174.6
18,368.6,75.2,659.4,73.4,4.4,1181
19,239.8,77.8,461,74.6,2.4,855.6
20,158.6,58.8,375.4,67.2,1.6,661.6
21,151.2,56.2,380.4,57.6,1,646.4
22,71.2,41.9,474.9,52.2,3,643.2
23,93.8,28.8,343.2,38,2.2,506
0,70,18.8,121.4,28.8,0.4,239.4
1,26.6,22.2,72.6,23,0.4,144.8
